epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.89748,0,0,0,27.1985,0,0,0,0,0,0,0,0,0,0,0,0,0.81934,0,2e-05,2e-05,2e-05
2,8.43919,0,0,0,24.1164,0,0,0,0,0,0,0,0,0,0,0,0,0.37066,0,5.406e-05,5.406e-05,5.406e-05
3,11.8785,0,0,0,9.51334,0,0,0,0,0,0,0,0,0,0,0,0,0.22901,0,8.02e-05,8.02e-05,8.02e-05
4,15.2814,0,0,0,6.35056,0,0,0,0,0,0,0,0,0,0,0,0,0.17022,0,9.842e-05,9.842e-05,9.842e-05
5,18.5506,0,0,0,2.03523,0,0,0,0,0,0,0,0,0,0,0,0,0.17985,0,0.00010872,0.00010872,0.00010872
6,21.9468,0,0,0,1.13245,0,0,0,0,0,0,0,0,0,0,0,0,0.17985,0,0.0001111,0.0001111,0.0001111
7,25.8875,0,0,0,1.28458,0,0,0,0,0,0,0,0,0,0,0,0,0.22499,0,0.00010556,0.00010556,0.00010556
8,29.2114,0,0,0,0.64919,0,0,0,0,0,0,0,0,0,0,0,0,0.27942,0,9.21e-05,9.21e-05,9.21e-05
9,32.8876,0,0,0,0.59074,0,0,0,0,0,0,0,0,0,0,0,0,0.27942,0,7.072e-05,7.072e-05,7.072e-05
10,36.9649,0,0,0,0.52569,0,0,0,0,0,0,0,0,0,0,0,0,0.25679,0,4.142e-05,4.142e-05,4.142e-05
1,1.87366,0,0,0,28.8869,0,0,0,0,0,0,0,0,0,0,0,0,2.12496,0,2e-05,2e-05,2e-05
2,4.31363,0,0,0,25.847,0,0,0,0,0,0,0,0,0,0,0,0,1.64619,0,5.406e-05,5.406e-05,5.406e-05
3,7.13086,0,0,0,9.62752,0,0,0,0,0,0,0,0,0,0,0,0,1.25157,0,8.02e-05,8.02e-05,8.02e-05
1,35.5534,3.86741,7.51068,0,8.6407,2.74746,0,0,0,0,0,0,0,0,4.16028,6.7622,0,4.68247,2.9125,0.00024,0.00024,0.00024
2,76.2206,3.90126,7.0071,0,4.13614,2.61453,0.00211,0.47059,0.00173,0.00042,0.00026,0.05882,0.00015,3e-05,3.42214,6.7428,0,4.132,2.42206,0.0004505,0.0004505,0.0004505
3,116.358,3.50232,6.47543,0,3.69781,2.1191,0.00285,0.41176,0.00209,0.00067,0,0,0,0,3.29817,6.74545,0,4.08677,2.36169,0.00060952,0.00060952,0.00060952
4,158.508,3.32252,6.57056,0,3.60263,2.11567,0.00239,0.23529,0.00172,0.00033,0,0,0,0,3.59924,6.83587,0,4.1526,2.37238,0.00071706,0.00071706,0.00071706
5,200.178,3.00502,6.19895,0,3.20136,1.93389,0.00188,0.11765,0.00108,0.00016,0,0,0,0,3.78507,6.83395,0,4.33022,2.41589,0.00077312,0.00077312,0.00077312
6,241.47,3.1175,6.24556,0,2.98192,1.95655,0.00134,0.05882,0.00072,0.00014,0,0,0,0,3.91487,6.81205,0,4.674,2.52939,0.0007777,0.0007777,0.0007777
7,281.383,2.5996,6.02258,0,2.59637,1.73432,0.00268,0.05882,0.00187,0.00056,0,0,0,0,3.65782,6.75884,0,4.54079,2.4873,0.0007308,0.0007308,0.0007308
8,321.919,2.67141,5.97343,0,3.0471,1.76136,0.00505,0.17647,0.00492,0.00136,0,0,0,0,3.34686,6.65741,0,4.41058,2.5173,0.000614,0.000614,0.000614
9,361.547,2.712,5.95266,0,2.91816,1.72096,0.00505,0.17647,0.00492,0.00136,0,0,0,0,3.34686,6.65741,0,4.41058,2.5173,0.000416,0.000416,0.000416
10,402.095,2.66084,5.9682,0,2.71261,1.73667,0.0044,0.23529,0.00453,0.00128,0,0,0,0,3.12273,6.56039,0,4.28898,2.36814,0.000218,0.000218,0.000218
1,34.176,3.86741,7.51068,0,8.6407,2.74746,0,0,0,0,0,0,0,0,4.16028,6.7622,0,4.68247,2.9125,0.00024,0.00024,0.00024
2,73.1359,3.90126,7.0071,0,4.13614,2.61453,0.00211,0.47059,0.00173,0.00042,0.00026,0.05882,0.00015,3e-05,3.42214,6.7428,0,4.132,2.42206,0.0004505,0.0004505,0.0004505
3,111.239,3.50232,6.47543,0,3.69781,2.1191,0.00285,0.41176,0.00209,0.00067,0,0,0,0,3.29817,6.74545,0,4.08677,2.36169,0.00060952,0.00060952,0.00060952
4,151.457,3.32252,6.57056,0,3.60263,2.11567,0.00239,0.23529,0.00172,0.00033,0,0,0,0,3.59924,6.83587,0,4.1526,2.37238,0.00071706,0.00071706,0.00071706
5,190.793,3.00502,6.19895,0,3.20136,1.93389,0.00188,0.11765,0.00108,0.00016,0,0,0,0,3.78507,6.83395,0,4.33022,2.41589,0.00077312,0.00077312,0.00077312
6,228.478,3.1175,6.24556,0,2.98192,1.95655,0.00134,0.05882,0.00072,0.00014,0,0,0,0,3.91487,6.81205,0,4.674,2.52939,0.0007777,0.0007777,0.0007777
7,260.135,2.5996,6.02258,0,2.59637,1.73432,0.00268,0.05882,0.00187,0.00056,0,0,0,0,3.65782,6.75884,0,4.54079,2.4873,0.0007308,0.0007308,0.0007308
8,290.313,2.67141,5.97343,0,3.0471,1.76136,0.00505,0.17647,0.00492,0.00136,0,0,0,0,3.34686,6.65741,0,4.41058,2.5173,0.000614,0.000614,0.000614
9,319.545,2.712,5.95266,0,2.91816,1.72096,0.00505,0.17647,0.00492,0.00136,0,0,0,0,3.34686,6.65741,0,4.41058,2.5173,0.000416,0.000416,0.000416
10,349.939,2.66084,5.9682,0,2.71261,1.73667,0.0044,0.23529,0.00453,0.00128,0,0,0,0,3.12273,6.56039,0,4.28898,2.36814,0.000218,0.000218,0.000218
1,145.973,3.66717,7.1794,0,5.76295,2.07959,0.01568,0.07042,0.00558,0.00132,0.00545,0.02113,0.00213,0.00035,3.45938,6.64042,0,3.72934,1.44971,0.000658333,0.000658333,0.000658333
1,119.822,3.7664,7.20956,0,6.68144,2.01663,0.00164,0.25352,0.0061,0.00213,0.00046,0.07042,0.00074,0.00011,3.58876,7.03697,0,3.86026,1.48486,0.000658333,0.000658333,0.000658333
2,278.221,3.26278,5.93597,0,3.52828,1.67727,0.09732,0.09155,0.03174,0.0073,0.11229,0.10563,0.03022,0.00583,3.56833,5.78182,0,3.19743,1.55302,0.00119382,0.00119382,0.00119382
